UserID,Age,TotalCourses,EnrollmentFrequency,AvgCourseRating,AvgSpending,DiversityScore,DepthIndex,Gender_Female,Gender_Male,CourseCategory_Artificial Intelligence,CourseCategory_Business,CourseCategory_Cybersecurity,CourseCategory_Data Science,CourseCategory_Design,CourseCategory_Digital Marketing,CourseCategory_Finance,CourseCategory_Machine Learning,CourseCategory_Marketing,CourseCategory_Programming,CourseCategory_Project Management,CourseCategory_Web Development,CourseLevel_Advanced,CourseLevel_Beginner,CourseLevel_Intermediate,Cluster
U00001,15,1,1,1.35,394.26,1,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2
U00002,29,1,1,2.88,0.0,1,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00003,33,11,11,2.889090909090909,55.81636363636364,7,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,3
U00004,23,13,13,3.4515384615384614,75.54230769230769,8,0.75,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,3
U00005,21,2,2,2.0549999999999997,173.355,2,1.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1
U00006,21,1,1,3.89,0.78,1,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
U00007,24,1,1,1.91,0.0,1,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2
U00008,33,1,1,4.1,0.0,1,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
U00009,20,1,1,2.72,276.37,1,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
U00010,34,2,2,3.165,163.01,2,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
U00011,15,2,2,3.205,149.785,2,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
U00012,15,2,2,1.5150000000000001,163.995,2,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
U00013,33,14,14,2.869285714285714,102.3092857142857,8,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3
U00014,30,1,1,1.81,0.0,1,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
U00015,27,14,14,2.7607142857142857,145.36142857142858,10,0.42857142857142855,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
U00016,32,1,1,4.79,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2
U00017,24,3,3,4.6499999999999995,321.06,3,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00018,24,16,16,3.1081250000000002,91.751875,9,0.5714285714285714,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
U00019,24,1,1,4.51,0.0,1,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
U00020,27,1,1,2.88,0.0,1,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00021,15,2,2,3.135,88.67,2,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
U00022,31,1,1,4.68,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
U00023,32,1,1,4.51,0.0,1,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2
U00024,18,1,1,3.93,0.0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
U00025,34,4,4,2.605,29.76,4,2.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2
U00026,19,1,1,1.51,327.99,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
U00027,31,2,2,2.915,0.0,2,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
U00028,30,12,12,3.015,84.38833333333334,9,0.8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3
U00029,30,1,1,2.69,326.02,1,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2
U00030,34,1,1,3.45,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2
U00031,30,1,1,2.2,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2
U00032,18,1,1,1.96,285.05,1,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00033,25,1,1,2.72,276.37,1,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
U00034,32,2,2,2.67,124.05,2,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
U00035,32,1,1,3.89,0.78,1,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
U00036,24,1,1,3.85,0.0,1,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00037,31,2,2,1.9849999999999999,0.0,2,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
U00038,35,1,1,3.93,0.0,1,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2
U00039,16,1,1,1.23,346.71,1,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0
U00040,15,1,1,3.85,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00041,19,2,2,3.5650000000000004,163.01,2,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0
U00042,32,1,1,2.68,89.59,1,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
U00043,31,1,1,1.51,327.99,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
U00044,19,1,1,3.74,299.57,1,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
U00045,23,14,14,3.375,86.41357142857143,9,0.5,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3
U00046,29,2,2,1.325,0.0,2,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
U00047,34,1,1,3.6,0.0,1,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2
U00048,19,13,13,3.329230769230769,27.45307692307692,9,0.6666666666666666,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3
U00049,32,1,1,3.45,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2
U00050,33,1,1,2.61,0.0,1,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
U00051,32,1,1,4.51,0.0,1,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
U00052,25,1,1,3.89,0.78,1,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0
U00053,34,1,1,2.47,53.86,1,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
U00054,22,1,1,4.55,490.9,1,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
U00055,31,16,16,3.055625,90.515625,9,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3
U00056,22,2,2,2.745,0.0,2,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
U00057,18,1,1,3.64,487.92,1,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2
U00058,30,1,1,2.57,117.68,1,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
U00059,32,1,1,4.51,0.0,1,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2
U00060,26,4,4,3.515,13.465,3,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2
U00061,32,1,1,1.91,0.0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
U00062,28,1,1,3.85,0.0,1,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00063,34,2,2,3.31,149.785,2,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
U00064,33,1,1,2.72,276.37,1,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
U00065,29,1,1,2.67,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,2
U00066,26,1,1,1.51,327.99,1,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0
U00067,28,1,1,2.75,119.04,1,0.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
U00068,32,1,1,3.45,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2
U00069,27,2,2,3.67,0.0,2,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
U00070,25,2,2,4.6899999999999995,0.0,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
U00071,30,14,14,2.777857142857143,45.85285714285715,8,0.5714285714285714,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00072,17,1,1,2.69,326.02,1,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0
U00073,16,1,1,3.89,0.78,1,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
U00074,19,3,3,3.5233333333333334,321.06,2,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00075,22,1,1,4.45,0.0,1,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
U00076,34,4,4,3.0949999999999998,118.07,4,0.3333333333333333,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00077,20,1,1,4.11,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2
U00078,32,1,1,4.11,0.0,1,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0
U00079,28,1,1,4.94,0.0,1,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2
U00080,35,1,1,2.88,0.0,1,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00081,18,1,1,1.52,0.0,1,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
U00082,31,1,1,4.68,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
U00083,16,15,15,2.9953333333333334,110.75333333333333,9,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
U00084,20,1,1,1.51,327.99,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
U00085,22,13,13,2.9084615384615384,88.39384615384614,7,0.42857142857142855,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3
U00086,27,4,4,2.47,13.465,4,2.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
U00087,19,3,3,4.506666666666667,0.0,3,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
U00088,23,1,1,3.64,0.0,1,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00089,30,1,1,4.73,0.0,1,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2
U00090,34,1,1,3.45,0.0,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2
U00091,35,1,1,4.14,0.0,1,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2
U00092,31,4,4,2.7175000000000002,148.7025,4,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
U00093,16,1,1,1.96,285.05,1,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00094,27,1,1,3.74,299.57,1,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
U00095,20,1,1,1.2,248.1,1,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00096,34,4,4,2.58,0.0,3,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0
U00097,25,2,2,2.0949999999999998,0.0,2,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2
U00098,31,1,1,4.45,0.0,1,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
U00099,29,1,1,3.74,299.57,1,0.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0
U00100,32,1,1,2.14,0.0,1,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
U00101,15,1,1,2.68,89.59,1,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
U00102,32,1,1,3.74,299.57,1,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
U00103,30,1,1,2.0,0.0,1,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
U00104,19,1,1,2.47,53.86,1,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2
U00105,27,1,1,3.74,299.57,1,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2
U00106,19,2,2,3.4400000000000004,28.66,2,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
U00107,18,1,1,3.85,0.0,1,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
U00108,32,2,2,2.965,0.0,2,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
U00109,15,14,14,3.157857142857143,62.12642857142857,10,0.375,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3
U00110,26,1,1,3.64,487.92,1,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
U00111,24,1,1,2.14,0.0,1,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2
U00112,34,14,14,3.165714285714286,40.41428571428571,9,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3
U00113,19,1,1,1.23,346.71,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2
U00114,22,1,1,2.38,0.0,1,0.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
U00115,32,1,1,1.73,0.0,1,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0
U00116,31,1,1,1.52,0.0,1,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2
U00117,19,13,13,3.373076923076923,145.06692307692308,9,0.5714285714285714,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,3
U00118,28,1,1,2.0,0.0,1,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
U00119,28,1,1,4.74,57.32,1,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,2
U00120,15,2,2,3.215,207.755,2,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00121,27,2,2,2.7,164.385,2,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0
U00122,21,2,2,2.895,0.0,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
U00123,18,2,2,4.24,178.445,2,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
U00124,19,2,2,2.175,230.245,2,1.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
U00125,35,2,2,2.25,163.01,2,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
U00126,23,14,14,3.457142857142857,77.4692857142857,7,0.5714285714285714,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3
U00127,34,3,3,3.846666666666667,301.1433333333334,3,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
U00128,35,13,13,3.106923076923077,139.51153846153846,8,0.8,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
U00129,19,2,2,3.885,207.755,2,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2
U00130,17,1,1,1.2,248.1,1,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2
U00131,19,1,1,3.15,0.0,1,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2
U00132,22,1,1,1.13,0.0,1,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2
U00133,21,14,14,2.830714285714286,59.166428571428575,9,0.8333333333333334,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3
